team_1,team_2,score,link
Динамо М,Северсталь,5:4 Б,https://www.khl.ru/game/1369/898003/resume/
Трактор,Авангард,2:5,https://www.khl.ru/game/1369/897997/resume/
Лада,ХК Сочи,4:0,https://www.khl.ru/game/1369/897998/resume/
Спартак,Торпедо,0:1,https://www.khl.ru/game/1369/897989/resume/
Сибирь,Нефтехимик,1:3,https://www.khl.ru/game/1369/897990/resume/
Автомобилист,Салават Юлаев,6:2,https://www.khl.ru/game/1369/897991/resume/
Адмирал,Металлург Мг,4:8,https://www.khl.ru/game/1369/897992/resume/
Амур,Ак Барс,0:3,https://www.khl.ru/game/1369/897993/resume/
Динамо М,Динамо Мн,2:3,https://www.khl.ru/game/1369/897994/resume/
Локомотив,Драконы,2:0,https://www.khl.ru/game/1369/897995/resume/
Барыс,ЦСКА,3:1,https://www.khl.ru/game/1369/897996/resume/
СКА,ХК Сочи,1:2,https://www.khl.ru/game/1369/897988/resume/
Лада,Салават Юлаев,2:5,https://www.khl.ru/game/1369/897983/resume/
Барыс,Нефтехимик,0:1,https://www.khl.ru/game/1369/897984/resume/
Амур,Ак Барс,3:5,https://www.khl.ru/game/1369/897985/resume/
Северсталь,Динамо Мн,6:4,https://www.khl.ru/game/1369/897986/resume/
Авангард,ЦСКА,2:1,https://www.khl.ru/game/1369/897987/resume/
Металлург Мг,ХК Сочи,9:0,https://www.khl.ru/game/1369/897978/resume/
Автомобилист,Трактор,4:1,https://www.khl.ru/game/1369/897979/resume/
Драконы,СКА,2:5,https://www.khl.ru/game/1369/897980/resume/
Торпедо,Локомотив,3:0,https://www.khl.ru/game/1369/897981/resume/
Динамо М,Спартак,3:5,https://www.khl.ru/game/1369/897982/resume/
Северсталь,Сибирь,2:3,https://www.khl.ru/game/1369/897975/resume/
Авангард,Салават Юлаев,3:4,https://www.khl.ru/game/1369/897976/resume/
Ак Барс,Нефтехимик,0:2,https://www.khl.ru/game/1369/897977/resume/
Лада,СКА,3:4 Б,https://www.khl.ru/game/1369/897970/resume/
Динамо М,Торпедо,3:4 ОТ,https://www.khl.ru/game/1369/897971/resume/
Динамо Мн,Адмирал,2:1,https://www.khl.ru/game/1369/897973/resume/
Автомобилист,Барыс,2:1 ОТ,https://www.khl.ru/game/1369/897974/resume/
ЦСКА,Спартак,2:1,https://www.khl.ru/game/1369/897968/resume/
Трактор,Сибирь,4:1,https://www.khl.ru/game/1369/897969/resume/
Нефтехимик,Адмирал,4:2,https://www.khl.ru/game/1369/897964/resume/
Металлург Мг,СКА,5:1,https://www.khl.ru/game/1369/897965/resume/
Салават Юлаев,Барыс,3:1,https://www.khl.ru/game/1369/897966/resume/
Северсталь,Торпедо,7:6,https://www.khl.ru/game/1369/897967/resume/
Трактор,Амур,4:2,https://www.khl.ru/game/1369/897961/resume/
ХК Сочи,Лада,1:4,https://www.khl.ru/game/1369/897962/resume/
ЦСКА,Драконы,3:2,https://www.khl.ru/game/1369/897963/resume/
Северсталь,Динамо Мн,4:3,https://www.khl.ru/game/1369/897955/resume/
Салават Юлаев,Автомобилист,4:1,https://www.khl.ru/game/1369/897956/resume/
Сибирь,Локомотив,2:3 ОТ,https://www.khl.ru/game/1369/897957/resume/
Нефтехимик,Адмирал,3:2 Б,https://www.khl.ru/game/1369/897958/resume/
Ак Барс,Барыс,3:1,https://www.khl.ru/game/1369/897959/resume/
Металлург Мг,Авангард,2:1,https://www.khl.ru/game/1369/897960/resume/
Драконы,Амур,2:0,https://www.khl.ru/game/1369/897952/resume/
СКА,Лада,5:4 ОТ,https://www.khl.ru/game/1369/897953/resume/
ХК Сочи,Динамо М,0:3,https://www.khl.ru/game/1369/897954/resume/
Ак Барс,Авангард,1:2,https://www.khl.ru/game/1369/897945/resume/
Северсталь,Спартак,1:2,https://www.khl.ru/game/1369/897946/resume/
Сибирь,Адмирал,5:2,https://www.khl.ru/game/1369/897947/resume/
Металлург Мг,Локомотив,5:4 ОТ,https://www.khl.ru/game/1369/897948/resume/
Трактор,Автомобилист,3:1,https://www.khl.ru/game/1369/897949/resume/
Торпедо,Барыс,3:2,https://www.khl.ru/game/1369/897950/resume/
ЦСКА,Динамо Мн,4:2,https://www.khl.ru/game/1369/897951/resume/
ХК Сочи,Динамо М,2:0,https://www.khl.ru/game/1369/897942/resume/
Салават Юлаев,Нефтехимик,2:1,https://www.khl.ru/game/1369/897943/resume/
Драконы,Лада,3:2,https://www.khl.ru/game/1369/897944/resume/
Торпедо,Спартак,6:7,https://www.khl.ru/game/1369/897936/resume/
Ак Барс,Автомобилист,5:0,https://www.khl.ru/game/1369/897937/resume/
Сибирь,Авангард,2:5,https://www.khl.ru/game/1369/897938/resume/
ЦСКА,Локомотив,1:2 Б,https://www.khl.ru/game/1369/897939/resume/
Трактор,Динамо Мн,5:4,https://www.khl.ru/game/1369/897940/resume/
Адмирал,Амур,3:2,https://www.khl.ru/game/1369/897932/resume/
Северсталь,Лада,4:2,https://www.khl.ru/game/1369/897933/resume/
ХК Сочи,Нефтехимик,2:1,https://www.khl.ru/game/1369/897934/resume/
Драконы,Металлург Мг,3:7,https://www.khl.ru/game/1369/897935/resume/
Амур,Сибирь,2:3 ОТ,https://www.khl.ru/game/1369/897924/resume/
ЦСКА,Динамо М,5:1,https://www.khl.ru/game/1369/897925/resume/
Ак Барс,Северсталь,4:3 Б,https://www.khl.ru/game/1369/897926/resume/
Локомотив,Торпедо,1:0,https://www.khl.ru/game/1369/897927/resume/
Автомобилист,Лада,4:3,https://www.khl.ru/game/1369/897928/resume/
Авангард,Барыс,2:4,https://www.khl.ru/game/1369/897929/resume/
Салават Юлаев,Динамо Мн,2:3 ОТ,https://www.khl.ru/game/1369/897930/resume/
Драконы,СКА,2:3,https://www.khl.ru/game/1369/897931/resume/
Металлург Мг,Трактор,5:4 ОТ,https://www.khl.ru/game/1369/897923/resume/
Салават Юлаев,Северсталь,2:1 Б,https://www.khl.ru/game/1369/897916/resume/
ЦСКА,Спартак,2:1,https://www.khl.ru/game/1369/897917/resume/
Авангард,Лада,4:3 Б,https://www.khl.ru/game/1369/897918/resume/
ХК Сочи,СКА,8:4,https://www.khl.ru/game/1369/897919/resume/
Динамо Мн,Динамо М,5:3,https://www.khl.ru/game/1369/897920/resume/
Нефтехимик,Торпедо,5:0,https://www.khl.ru/game/1369/897921/resume/
Адмирал,Сибирь,2:3 ОТ,https://www.khl.ru/game/1369/897922/resume/
Ак Барс,Трактор,3:2,https://www.khl.ru/game/1369/897914/resume/
Барыс,Амур,1:4,https://www.khl.ru/game/1369/897915/resume/
Авангард,Металлург Мг,2:1 Б,https://www.khl.ru/game/1369/897910/resume/
Динамо Мн,СКА,1:4,https://www.khl.ru/game/1369/897911/resume/
Адмирал,Сибирь,2:4,https://www.khl.ru/game/1369/897912/resume/
Драконы,Нефтехимик,3:4 ОТ,https://www.khl.ru/game/1369/897913/resume/
Локомотив,Динамо М,0:2,https://www.khl.ru/game/1369/897904/resume/
Барыс,Автомобилист,1:4,https://www.khl.ru/game/1369/897905/resume/
Торпедо,ЦСКА,2:3 ОТ,https://www.khl.ru/game/1369/897906/resume/
Лада,Трактор,1:6,https://www.khl.ru/game/1369/897907/resume/
Северсталь,ХК Сочи,4:3 ОТ,https://www.khl.ru/game/1369/897908/resume/
Салават Юлаев,Амур,4:2,https://www.khl.ru/game/1369/897909/resume/
Драконы,Спартак,4:3 Б,https://www.khl.ru/game/1369/897902/resume/
Авангард,Нефтехимик,4:3 ОТ,https://www.khl.ru/game/1369/897903/resume/
Северсталь,ЦСКА,3:1,https://www.khl.ru/game/1369/897895/resume/
Динамо Мн,Динамо М,7:1,https://www.khl.ru/game/1369/897896/resume/
Торпедо,ХК Сочи,4:1,https://www.khl.ru/game/1369/897897/resume/
Барыс,Трактор,0:2,https://www.khl.ru/game/1369/897898/resume/
Сибирь,Автомобилист,0:5,https://www.khl.ru/game/1369/897899/resume/
Локомотив,Адмирал,3:2,https://www.khl.ru/game/1369/897900/resume/
Салават Юлаев,Амур,2:4,https://www.khl.ru/game/1369/897901/resume/
Металлург Мг,Нефтехимик,4:3 Б,https://www.khl.ru/game/1369/897892/resume/
Драконы,Спартак,1:3,https://www.khl.ru/game/1369/897894/resume/
Автомобилист,Адмирал,3:2,https://www.khl.ru/game/1369/897887/resume/
Барыс,ХК Сочи,1:5,https://www.khl.ru/game/1369/897888/resume/
Сибирь,Амур,4:2,https://www.khl.ru/game/1369/897889/resume/
Динамо Мн,Лада,7:2,https://www.khl.ru/game/1369/897890/resume/
ЦСКА,Динамо М,0:1 Б,https://www.khl.ru/game/1369/897891/resume/
